price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
9231.29,9238.67,9227.72,9238.61,2018-04-30T21:27:58.0000000Z,2018-04-30T21:27:01.0000000Z,2018-04-30T21:28:00.0000000Z,2018-04-30T21:27:00.0000000Z,29,1.80307412
9240.94,9241.21,9230.38,9231.29,2018-04-30T21:28:59.0000000Z,2018-04-30T21:28:03.0000000Z,2018-04-30T21:29:00.0000000Z,2018-04-30T21:28:00.0000000Z,19,0.69117589
9240.74,9240.94,9231.3,9239.37,2018-04-30T21:29:53.0000000Z,2018-04-30T21:29:08.0000000Z,2018-04-30T21:30:00.0000000Z,2018-04-30T21:29:00.0000000Z,16,0.42809577
9231.01,9240.78,9230.39,9240.77,2018-04-30T21:30:59.0000000Z,2018-04-30T21:30:03.0000000Z,2018-04-30T21:31:00.0000000Z,2018-04-30T21:30:00.0000000Z,11,0.9639909
9236.54,9242.58,9231.21,9236.53,2018-04-30T21:31:59.0000000Z,2018-04-30T21:31:02.0000000Z,2018-04-30T21:32:00.0000000Z,2018-04-30T21:31:00.0000000Z,34,4.57018027
9247.46,9247.53,9236.56,9247.52,2018-04-30T21:32:57.0000000Z,2018-04-30T21:32:16.0000000Z,2018-04-30T21:33:00.0000000Z,2018-04-30T21:32:00.0000000Z,17,1.21328437
9248.07,9248.07,9237.52,9247.53,2018-04-30T21:33:57.0000000Z,2018-04-30T21:33:03.0000000Z,2018-04-30T21:34:00.0000000Z,2018-04-30T21:33:00.0000000Z,10,0.90470709
9238.52,9251.71,9237.53,9248.29,2018-04-30T21:34:58.0000000Z,2018-04-30T21:34:04.0000000Z,2018-04-30T21:35:00.0000000Z,2018-04-30T21:34:00.0000000Z,23,4.02496968
9241.73,9247.69,9236.53,9238.52,2018-04-30T21:35:56.0000000Z,2018-04-30T21:35:05.0000000Z,2018-04-30T21:36:00.0000000Z,2018-04-30T21:35:00.0000000Z,32,3.67735291
9236.22,9241.71,9231.0,9231.48,2018-04-30T21:36:56.0000000Z,2018-04-30T21:36:01.0000000Z,2018-04-30T21:37:00.0000000Z,2018-04-30T21:36:00.0000000Z,13,0.67737831
9231.0,9238.24,9231.0,9231.0,2018-04-30T21:37:58.0000000Z,2018-04-30T21:37:01.0000000Z,2018-04-30T21:38:00.0000000Z,2018-04-30T21:37:00.0000000Z,20,0.72698853
9227.93,9238.24,9226.58,9238.24,2018-04-30T21:38:58.0000000Z,2018-04-30T21:38:01.0000000Z,2018-04-30T21:39:00.0000000Z,2018-04-30T21:38:00.0000000Z,40,2.28984101
9237.79,9238.24,9226.08,9231.0,2018-04-30T21:39:58.0000000Z,2018-04-30T21:39:02.0000000Z,2018-04-30T21:40:00.0000000Z,2018-04-30T21:39:00.0000000Z,33,2.03184321
9236.85,9238.24,9224.55,9226.55,2018-04-30T21:40:59.0000000Z,2018-04-30T21:40:00.0000000Z,2018-04-30T21:41:00.0000000Z,2018-04-30T21:40:00.0000000Z,28,5.01557336
9220.0,9237.03,9220.0,9224.51,2018-04-30T21:41:59.0000000Z,2018-04-30T21:41:13.0000000Z,2018-04-30T21:42:00.0000000Z,2018-04-30T21:41:00.0000000Z,52,2.81787841
9219.16,9230.19,9219.16,9220.0,2018-04-30T21:42:59.0000000Z,2018-04-30T21:42:03.0000000Z,2018-04-30T21:43:00.0000000Z,2018-04-30T21:42:00.0000000Z,24,1.88186226
9218.19,9229.97,9218.0,9219.13,2018-04-30T21:43:59.0000000Z,2018-04-30T21:43:00.0000000Z,2018-04-30T21:44:00.0000000Z,2018-04-30T21:43:00.0000000Z,26,1.4668677
