data_end,data_orderbook_end,data_orderbook_start,data_quote_end,data_quote_start,data_start,data_symbols_count,data_trade_count,data_trade_end,data_trade_start,exchange_id,name,website
2018-05-05,2018-05-05T13:16:10.0440311Z,2017-03-14T20:05:17.8425642Z,2018-05-05T13:16:10.0440311Z,2017-03-14T20:05:17.8425642Z,2011-11-09,18,2608311.0,2018-05-05T13:13:54.0000000Z,2011-11-09T14:33:28.0000000Z,THEROCKTRADING,The Rock Trading LTD.,https://www.therocktrading.com/
2018-05-05,2018-05-05T13:22:14.6410496Z,2017-03-14T20:03:37.1002962Z,2018-05-05T13:22:14.6410496Z,2017-03-14T20:03:37.1002962Z,2016-12-02,2064,2516791.0,2018-05-05T13:18:51.2780000Z,2016-12-02T05:15:13.4340000Z,DERIBIT,Deribit,https://www.deribit.com/
2018-05-05,2018-05-05T13:21:54.5000000Z,2018-01-24T00:21:42.1453690Z,2018-05-05T13:21:54.5000000Z,2018-01-24T00:21:42.1453690Z,2018-01-04,156,2264440.0,2018-05-05T13:21:39.0000000Z,2018-01-04T16:50:48.0000000Z,QRYPTOS,QRYPTOS,https://www.qryptos.com/
2018-05-01,2018-05-01T02:28:22.1801687Z,2017-03-14T20:03:12.2346102Z,2018-05-01T02:28:22.1801687Z,2017-03-14T20:03:12.2346102Z,2014-02-11,1004,2201848.0,2018-04-11T14:18:41.0000000Z,2014-02-11T19:40:58.0000000Z,CCEX,c-cex,https://c-cex.com
2018-05-05,2018-05-05T13:14:54.5760757Z,2017-03-14T20:05:08.1246185Z,2018-05-05T13:14:54.5760757Z,2017-03-14T20:05:08.1246185Z,2017-03-14,4,1990528.0,2018-05-05T13:14:19.0000000Z,2017-03-14T20:10:31.0000000Z,QUADRIGACX,QuadrigaCX,https://www.quadrigacx.com/
2018-05-05,2018-05-05T13:19:07.3645379Z,2017-12-18T21:44:18.7514464Z,2018-05-05T13:19:07.3645379Z,2017-12-18T21:44:18.7514464Z,2017-12-17,21,1961558.0,2018-05-05T13:18:38.0000000Z,2017-12-17T09:56:31.0000000Z,COINNEST,Coinnest,https://www.coinnest.co.kr/
2018-05-05,2018-05-05T13:17:42.9795156Z,2017-08-29T15:47:10.0528025Z,2018-05-05T13:17:42.9795156Z,2017-08-29T15:47:10.0528025Z,2011-04-05,4,1933936.0,2018-05-05T13:16:49.0000000Z,2011-04-05T18:49:48.0000000Z,BITMARKET,BitMarket,https://www.bitmarket.pl
2018-05-05,2018-05-05T13:18:04.4546923Z,2017-12-28T21:44:47.2651267Z,2018-05-05T13:18:04.4546923Z,2017-12-28T21:44:47.2651267Z,2017-12-28,4,1815744.0,2018-05-05T13:17:40.1570000Z,2017-12-28T14:19:44.8820000Z,LUNO,Luno,https://www.luno.com
2018-05-05,2018-05-05T13:19:22.1964221Z,2017-12-28T21:38:26.3015015Z,2018-05-05T13:19:22.1964221Z,2017-12-28T21:38:26.3015015Z,2017-12-25,11,1725574.0,2018-05-05T13:19:18.0000000Z,2017-12-25T10:18:54.0000000Z,BTCMARKETS,BTC Markets Pty Ltd.,https://www.btcmarkets.net/
2018-05-05,2018-05-05T13:19:43.7510000Z,2018-01-24T00:21:41.0728293Z,2018-05-05T13:19:43.7510000Z,2018-01-24T00:21:41.0728293Z,2018-01-24,1,1341300.0,2018-05-05T13:18:58.0000000Z,2018-01-24T23:24:33.0000000Z,BTCBOX,BtcBox,https://www.btcbox.co.jp/
